movieId,qtdRatings,summRatings,meanRatings
109209,3.00,10.50,3.50
142572,1.00,2.50,2.50
125223,1.00,1.00,1.00
83825,3.00,9.00,3.00
71700,114.00,326.50,2.86
38499,543.00,2091.50,3.85
138894,2.00,7.50,3.75
45501,1669.00,4864.00,2.91
104379,23.00,65.00,2.83
68347,502.00,1924.00,3.83
101303,5.00,11.00,2.20
90453,2.00,4.00,2.00
112850,24.00,85.50,3.56
8964,45.00,128.00,2.84
122321,4.00,6.00,1.50
131070,3.00,9.00,3.00
112255,3.00,11.50,3.83
141978,2.00,4.50,2.25
73457,10.00,38.50,3.85
108869,3.00,6.50,2.17
132926,1.00,1.50,1.50
26840,474.00,1825.50,3.85
34469,63.00,224.50,3.56
124853,3.00,11.00,3.67
104969,5.00,13.00,2.60
3466,1133.00,3923.00,3.46
6982,194.00,753.00,3.88
45952,10.00,33.00,3.30
86766,4.00,14.00,3.50
88250,1.00,3.00,3.00
251,400.00,1215.00,3.04
73681,108.00,383.50,3.55
6258,78.00,264.50,3.39
149725,1.00,2.50,2.50
73804,129.00,327.00,2.53
6688,40.00,141.50,3.54
126160,5.00,15.00,3.00
34536,350.00,1212.00,3.46
6520,52.00,161.00,3.10
123449,2.00,7.00,3.50
147010,6.00,25.00,4.17
103723,37.00,72.00,1.95
109325,1.00,3.00,3.00
99699,3.00,9.00,3.00
3949,17451.00,70209.00,4.02
132458,14.00,46.00,3.29
101938,4.00,9.50,2.38
126174,1.00,1.50,1.50
102521,5.00,7.00,1.40
150032,1.00,3.00,3.00
148850,1.00,2.50,2.50
140529,47.00,128.00,2.72
85298,14.00,38.00,2.71
91860,2.00,6.50,3.25
4015,5606.00,14038.00,2.50
149384,1.00,3.00,3.00
5622,50.00,175.00,3.50
104733,9.00,24.50,2.72
141980,2.00,4.50,2.25
97283,3.00,5.00,1.67
98032,2.00,2.00,1.00
44761,2346.00,8909.50,3.80
72489,527.00,1652.50,3.14
4180,74.00,190.00,2.57
59157,15.00,42.00,2.80
104865,6.00,20.50,3.42
8411,6.00,11.00,1.83
6259,96.00,300.50,3.13
64660,15.00,52.50,3.50
84770,40.00,142.50,3.56
26459,9.00,31.00,3.44
54689,7.00,25.00,3.57
108885,2.00,7.00,3.50
142991,3.00,11.50,3.83
104748,2.00,1.50,0.75
42,2549.00,7782.00,3.05
1615,2618.00,9117.50,3.48
90469,340.00,960.50,2.83
117708,1.00,3.00,3.00
31114,198.00,701.50,3.54
115985,1.00,1.00,1.00
4689,88.00,265.00,3.01
73390,11.00,38.00,3.45
906,2142.00,8628.50,4.03
65796,34.00,125.00,3.68
108879,27.00,84.00,3.11
305,3510.00,9494.00,2.70
5192,106.00,309.00,2.92
79850,13.00,47.00,3.62
126104,1.00,3.00,3.00
108687,1.00,1.50,1.50
147352,1.00,2.50,2.50
87260,3.00,11.50,3.83
97542,5.00,18.50,3.70
924,27262.00,108025.00,3.96
2407,12109.00,39672.00,3.28
141472,3.00,9.00,3.00
588,47403.00,174511.00,3.68
2452,98.00,182.50,1.86
140820,32.00,89.00,2.78
7151,2122.00,7515.50,3.54
55,966.00,3122.00,3.23
182,712.00,2197.00,3.09
2406,14724.00,51051.00,3.47
263,404.00,1507.50,3.73
71634,14.00,48.00,3.43
71458,3.00,9.00,3.00
134810,1.00,4.00,4.00
116217,41.00,138.50,3.38
5271,13.00,33.00,2.54
108138,2.00,6.00,3.00
3988,6609.00,19137.00,2.90
1661,641.00,1998.00,3.12
7847,105.00,340.00,3.24
100534,1.00,3.50,3.50
3844,3641.00,12855.50,3.53
27008,28.00,58.50,2.09
121463,3.00,6.00,2.00
88131,27.00,95.50,3.54
106883,21.00,48.00,2.29
100266,1.00,4.50,4.50
5026,3137.00,10878.50,3.47
1844,674.00,2576.50,3.82
71670,286.00,748.50,2.62
8369,701.00,2147.00,3.06
50354,26.00,82.00,3.15
90823,2.00,5.50,2.75
601,119.00,404.00,3.39
84980,84.00,282.00,3.36
133873,7.00,24.00,3.43
122817,2.00,5.50,2.75
48518,516.00,1316.00,2.55
122519,1.00,3.00,3.00
103210,83.00,306.00,3.69
58810,2.00,3.50,1.75
95695,2.00,2.50,1.25
8814,805.00,2314.50,2.88
7274,43.00,133.50,3.10
125385,2.00,4.00,2.00
51314,37.00,125.50,3.39
137052,1.00,5.00,5.00
4546,1481.00,5837.00,3.94
2638,189.00,516.50,2.73
7240,42.00,111.00,2.64
3457,605.00,1904.00,3.15
144278,3.00,10.50,3.50
2313,7555.00,29468.50,3.90
3441,3003.00,9609.00,3.20
27006,88.00,304.50,3.46
122719,1.00,1.00,1.00
4432,832.00,3387.50,4.07
6576,60.00,206.50,3.44
121061,2.00,8.00,4.00
57520,195.00,452.00,2.32
118054,1.00,1.00,1.00
135759,4.00,14.00,3.50
90419,3.00,11.00,3.67
94735,19.00,68.00,3.58
53046,21.00,58.50,2.79
132052,1.00,1.00,1.00
10,31357.00,107770.50,3.44
6898,310.00,1104.00,3.56
6788,96.00,235.50,2.45
6938,38.00,139.50,3.67
32923,5.00,8.50,1.70
117444,481.00,1864.00,3.88
4819,117.00,379.00,3.24
45981,97.00,200.50,2.07
106068,1.00,3.00,3.00
66813,11.00,42.00,3.82
96840,8.00,20.50,2.56
55036,9.00,20.50,2.28
7820,516.00,2077.00,4.03
53349,72.00,238.00,3.31
80290,3.00,9.00,3.00
7385,57.00,139.50,2.45
116297,1.00,1.50,1.50
6336,30.00,94.00,3.13
98306,1.00,3.00,3.00
4023,5337.00,17867.50,3.35
422,1444.00,4666.50,3.23
106464,12.00,37.50,3.12
7236,501.00,1697.00,3.39
92760,4.00,7.00,1.75
121352,2.00,7.00,3.50
1752,1789.00,4944.50,2.76
42725,1023.00,3698.50,3.62
254,644.00,1860.50,2.89
88078,2.00,5.00,2.50
135947,1.00,3.00,3.00
42004,1162.00,4275.50,3.68
6392,262.00,863.50,3.30
143472,10.00,24.00,2.40
4549,40.00,117.00,2.92
54725,7.00,17.00,2.43
108510,4.00,13.50,3.38
73023,1006.00,3721.00,3.70
118930,93.00,355.00,3.82
33956,9.00,28.50,3.17
105079,2.00,2.00,1.00
89833,2.00,6.00,3.00
114629,2.00,7.50,3.75
8661,220.00,756.00,3.44
53827,142.00,514.50,3.62
6447,39.00,115.00,2.95
6075,37.00,131.50,3.55
144340,3.00,10.50,3.50
120392,49.00,177.00,3.61
140006,1.00,5.00,5.00
1980,1085.00,2171.50,2.00
4101,44.00,140.00,3.18
49085,15.00,60.50,4.03
142172,2.00,7.50,3.75
120881,1.00,3.00,3.00
98943,1.00,4.00,4.00
41820,5.00,13.00,2.60
26869,20.00,71.50,3.58
105601,3.00,4.50,1.50
126957,1.00,3.50,3.50
115869,1.00,3.00,3.00
119754,4.00,10.50,2.62
146006,7.00,30.50,4.36
56744,70.00,261.50,3.74
131023,19.00,65.50,3.45
82529,8.00,20.50,2.56
94022,15.00,53.50,3.57
141550,4.00,8.00,2.00
124531,4.00,12.00,3.00
123288,42.00,152.50,3.63
85861,2.00,6.50,3.25
105952,16.00,56.50,3.53
92951,1.00,4.00,4.00
7080,314.00,1142.00,3.64
92210,77.00,272.50,3.54
5148,44.00,138.50,3.15
88576,3.00,11.50,3.83
31770,176.00,661.00,3.76
93061,18.00,66.00,3.67
95151,18.00,45.50,2.53
33852,3.00,8.00,2.67
115531,1.00,3.00,3.00
2335,6614.00,19371.50,2.93
49314,341.00,1089.00,3.19
102514,6.00,18.50,3.08
144138,14.00,52.00,3.71
81316,14.00,34.00,2.43
60240,2.00,4.00,2.00
104778,3.00,8.50,2.83
55402,61.00,205.00,3.36
50149,149.00,364.00,2.44
96941,26.00,71.00,2.73
42562,2.00,6.00,3.00
140321,4.00,8.50,2.12
129881,1.00,0.50,0.50
4518,544.00,1580.50,2.91
80185,278.00,1042.50,3.75
108052,1.00,3.50,3.50
4232,4484.00,12356.00,2.76
149832,1.00,3.00,3.00
113970,1.00,3.50,3.50
56515,16.00,50.50,3.16
125091,1.00,3.00,3.00
120791,1.00,3.00,3.00
6503,4667.00,11801.00,2.53
32139,171.00,568.50,3.32
110159,3.00,11.00,3.67
137232,1.00,2.50,2.50
79400,2.00,8.50,4.25
148095,2.00,9.50,4.75
95159,4.00,16.50,4.12
38798,1268.00,4258.00,3.36
112334,115.00,454.00,3.95
72273,8.00,31.50,3.94
81574,1.00,3.50,3.50
6333,17323.00,63390.00,3.66
74230,3.00,11.50,3.83
124595,1.00,2.00,2.00
8838,577.00,2132.50,3.70
90262,1.00,2.50,2.50
125563,1.00,3.00,3.00
8221,159.00,573.00,3.60
72393,399.00,1176.00,2.95
71760,5.00,17.00,3.40
134278,1.00,1.00,1.00
60365,84.00,280.50,3.34
146926,21.00,39.50,1.88
129767,2.00,6.00,3.00
62376,871.00,2968.00,3.41
1509,205.00,703.50,3.43
25786,44.00,153.50,3.49
150202,1.00,3.00,3.00
134605,1.00,5.00,5.00
969,11380.00,46366.50,4.07
56286,580.00,2007.00,3.46
6754,5030.00,16822.50,3.34
131602,1.00,3.50,3.50
122573,1.00,3.00,3.00
123589,2.00,8.00,4.00
105767,1.00,3.00,3.00
2893,511.00,1522.00,2.98
1502,263.00,872.50,3.32
142513,3.00,9.00,3.00
6640,15.00,52.50,3.50
48,15029.00,44184.50,2.94
72479,326.00,1167.00,3.58
4752,122.00,349.00,2.86
26243,3.00,11.00,3.67
103368,4.00,12.00,3.00
65142,110.00,400.00,3.64
46653,117.00,397.50,3.40
81180,125.00,321.00,2.57
124164,2.00,6.50,3.25
87547,4.00,7.50,1.88
55467,11.00,39.00,3.55
651,53.00,133.50,2.52
87170,8.00,21.50,2.69
4621,3848.00,10281.50,2.67
526,135.00,426.50,3.16
93725,5.00,16.00,3.20
141470,2.00,9.00,4.50
33140,5.00,14.00,2.80
104392,8.00,25.50,3.19
129996,1.00,2.00,2.00
80582,5.00,17.00,3.40
3970,229.00,768.00,3.35
6841,67.00,203.00,3.03
61013,19.00,73.00,3.84
3248,2940.00,7513.50,2.56
116343,1.00,4.50,4.50
93181,2.00,5.50,2.75
140852,5.00,16.50,3.30
30896,28.00,80.50,2.88
77615,1.00,3.50,3.50
88110,6.00,17.00,2.83
144202,1.00,5.00,5.00
37857,1070.00,3914.00,3.66
4377,34.00,103.50,3.04
26810,209.00,763.50,3.65
77179,8.00,22.00,2.75
95984,6.00,8.50,1.42
142815,1.00,4.00,4.00
117592,1.00,2.00,2.00
71116,30.00,87.00,2.90
4797,61.00,183.50,3.01
96024,3.00,8.00,2.67
81738,2.00,8.50,4.25
111130,32.00,125.50,3.92
32294,10.00,25.00,2.50
141636,7.00,28.00,4.00
6620,3924.00,14913.00,3.80
140034,4.00,8.00,2.00
132333,2.00,9.00,4.50
65709,47.00,161.00,3.43
123159,11.00,29.50,2.68
150798,1.00,3.50,3.50
80241,279.00,890.00,3.19
8858,28.00,79.50,2.84
121284,11.00,27.00,2.45
5400,3986.00,12805.50,3.21
105117,2.00,5.50,2.75
115291,10.00,27.50,2.75
118972,18.00,33.00,1.83
57811,10.00,35.50,3.55
147732,1.00,2.00,2.00
151587,1.00,3.50,3.50
1361,1683.00,6856.50,4.07
2847,375.00,1434.50,3.83
71732,119.00,391.50,3.29
6583,166.00,568.00,3.42
121491,5.00,18.50,3.70
108316,1.00,4.00,4.00
106059,6.00,21.00,3.50
78984,1.00,2.00,2.00
95744,109.00,341.50,3.13
95193,59.00,147.50,2.50
65939,114.00,382.00,3.35
34450,15.00,51.00,3.40
32836,8.00,29.50,3.69
91054,22.00,68.50,3.11
93142,31.00,85.50,2.76
119810,2.00,8.00,4.00
4144,2402.00,9663.00,4.02
7095,211.00,693.50,3.29
1577,37.00,131.50,3.55
130498,9.00,26.00,2.89
33463,112.00,376.00,3.36
2790,560.00,1479.50,2.64
129653,2.00,4.50,2.25
99572,2.00,6.50,3.25
74471,3.00,8.00,2.67
128554,2.00,5.50,2.75
4491,61.00,182.00,2.98
141058,18.00,64.00,3.56
145489,8.00,23.50,2.94
8848,237.00,905.50,3.82
115775,1.00,4.00,4.00
111689,1.00,3.00,3.00
84565,2.00,4.00,2.00
3033,12468.00,42431.50,3.40
57848,13.00,43.50,3.35
107617,10.00,33.50,3.35
139735,1.00,4.00,4.00
8139,26.00,80.00,3.08
100169,46.00,144.00,3.13
147246,2.00,7.00,3.50
125836,1.00,4.00,4.00
3701,2366.00,7452.00,3.15
47465,465.00,1572.00,3.38
54229,62.00,225.00,3.63
64650,25.00,87.00,3.48
105533,2.00,6.00,3.00
148466,3.00,12.50,4.17
25807,56.00,180.00,3.21
6603,50.00,171.00,3.42
26167,12.00,43.00,3.58
84483,5.00,16.00,3.20
8903,89.00,200.00,2.25
6127,114.00,410.50,3.60
38884,4.00,13.00,3.25
4419,319.00,1221.00,3.83
144168,2.00,3.00,1.50
5527,634.00,2118.50,3.34
147428,1.00,5.00,5.00
26080,27.00,48.50,1.80
117696,1.00,2.50,2.50
144422,5.00,17.50,3.50
3082,9743.00,31217.00,3.20
102819,189.00,633.00,3.35
91894,7.00,17.50,2.50
112816,5.00,15.50,3.10
128383,1.00,3.00,3.00
53000,4402.00,15124.00,3.44
7725,270.00,531.50,1.97
796,45.00,132.50,2.94
3943,768.00,2410.50,3.14
141538,12.00,44.50,3.71
83437,7.00,22.50,3.21
82635,8.00,28.00,3.50
87096,7.00,17.50,2.50
6046,26.00,88.00,3.38
2048,1695.00,5849.00,3.45
48385,9453.00,32562.00,3.44
26116,200.00,715.50,3.58
5912,53.00,209.00,3.94
76132,24.00,76.50,3.19
121033,7.00,23.00,3.29
93116,7.00,23.50,3.36
4285,887.00,2805.00,3.16
66667,5.00,17.00,3.40
85981,5.00,17.00,3.40
79461,4.00,11.50,2.88
133379,1.00,3.00,3.00
953,16114.00,64825.00,4.02
87867,186.00,446.50,2.40
9017,27.00,68.00,2.52
113394,26.00,83.50,3.21
620,41.00,136.50,3.33
131690,1.00,2.50,2.50
114945,25.00,67.50,2.70
6954,1269.00,4887.00,3.85
54193,103.00,347.00,3.37
66665,1013.00,3771.50,3.72
149436,1.00,2.50,2.50
1926,192.00,603.50,3.14
3303,84.00,295.50,3.52
107274,8.00,26.50,3.31
144330,3.00,10.50,3.50
106024,1.00,3.50,3.50
32122,8.00,20.00,2.50
1705,18.00,42.50,2.36
97464,2.00,6.50,3.25
138340,1.00,2.00,2.00
119204,1.00,4.00,4.00
78517,125.00,411.50,3.29
121202,14.00,49.00,3.50
115759,3.00,7.50,2.50
89470,1339.00,4686.50,3.50
7335,281.00,1081.50,3.85
119782,5.00,15.00,3.00
144248,1.00,4.00,4.00
79996,16.00,32.00,2.00
1371,11233.00,34672.50,3.09
1925,338.00,1256.00,3.72
32019,1079.00,3004.00,2.78
79006,110.00,380.00,3.45
136980,2.00,2.00,1.00
86368,4.00,13.50,3.38
139555,1.00,0.50,0.50
5525,661.00,2557.00,3.87
291,693.00,1591.50,2.30
26819,320.00,921.00,2.88
3541,16.00,44.50,2.78
148382,3.00,12.00,4.00
81727,5.00,16.00,3.20
141139,7.00,24.00,3.43
26501,41.00,145.00,3.54
49973,8.00,25.00,3.12
112395,1.00,3.00,3.00
73870,53.00,138.00,2.60
65927,41.00,111.50,2.72
1872,79.00,246.00,3.11
149178,3.00,11.00,3.67
135300,2.00,5.50,2.75
146928,3.00,12.00,4.00
8786,131.00,499.50,3.81
86764,7.00,25.00,3.57
74017,4.00,10.50,2.62
110110,130.00,484.50,3.73
118862,5.00,16.50,3.30
122567,1.00,1.00,1.00
60979,471.00,1715.00,3.64
31894,25.00,87.00,3.48
61091,14.00,51.50,3.68
71936,11.00,36.50,3.32
146342,1.00,3.50,3.50
138468,1.00,3.00,3.00
529,11526.00,44201.50,3.83
7241,171.00,669.00,3.91
326,1414.00,5774.00,4.08
1725,154.00,543.00,3.53
139315,2.00,5.50,2.75
133543,1.00,4.00,4.00
117180,2.00,4.00,2.00
125345,1.00,3.00,3.00
95524,15.00,51.50,3.43
99659,2.00,6.00,3.00
80447,9.00,28.50,3.17
127272,1.00,4.00,4.00
61048,11.00,30.50,2.77
140655,3.00,7.00,2.33
120633,2.00,5.50,2.75
7118,279.00,990.50,3.55
856,59.00,198.00,3.36
105490,3.00,5.00,1.67
134079,4.00,14.50,3.62
108048,2.00,4.00,2.00
141383,1.00,3.00,3.00
47,47630.00,193507.50,4.06
3504,5682.00,22795.00,4.01
143063,1.00,2.00,2.00
89535,159.00,561.50,3.53
144848,2.00,4.50,2.25
100089,32.00,115.00,3.59
119832,1.00,1.50,1.50
1896,290.00,901.50,3.11
26240,150.00,518.50,3.46
88356,264.00,630.50,2.39
7304,173.00,625.50,3.62
86502,11.00,32.00,2.91
113170,1.00,0.50,0.50
118762,6.00,12.50,2.08
87094,5.00,14.00,2.80
123587,1.00,2.00,2.00
6773,3653.00,14085.00,3.86
5284,243.00,703.00,2.89
110781,84.00,260.50,3.10
65001,21.00,71.00,3.38
101405,2.00,7.50,3.75
3898,458.00,1274.50,2.78
3433,286.00,535.00,1.87
90090,6.00,23.00,3.83
119901,4.00,16.50,4.12
135514,3.00,11.50,3.83
64519,25.00,87.50,3.50
140868,8.00,29.00,3.62
79855,5.00,19.00,3.80
2840,5712.00,17316.50,3.03
8094,556.00,2127.00,3.83
86884,122.00,450.50,3.69
71497,8.00,27.50,3.44
77729,13.00,48.50,3.73
34224,4.00,12.00,3.00
123785,1.00,0.50,0.50
144436,4.00,14.00,3.50
75421,8.00,22.00,2.75
26684,38.00,115.50,3.04
134575,6.00,15.50,2.58
31696,5446.00,18384.50,3.38
27830,65.00,212.50,3.27
140395,2.00,8.00,4.00
118109,8.00,25.00,3.12
810,2058.00,3812.00,1.85
67255,3995.00,15589.00,3.90
49396,1163.00,3791.50,3.26
